provider,plan_title,price,data,validity,details_link,data_mb,validity_days,total_trip_cost
GigSky,North America,0.0,100MB,7 Days,https://esimdb.com/usa/gigsky,100.0,7.0,0.0
Firsty,Firsty Free,0.0,Unlimited,No expiry,https://esimdb.com/usa/firsty,,,0.0
Airalo,Change - 1 GB,0.0,1GB,1 Day,https://esimdb.com/usa/airalo,1024.0,1.0,0.0
Roamless,United States Free eSIM & Data,0.0,500MB,No expiry,https://esimdb.com/usa/roamless,500.0,,0.0
Airhub,Global Free esim 200MB,0.0,200MB,30 Days,https://esimdb.com/usa/airhub,200.0,30.0,0.0
GigSky,United States,0.0,100MB,7 Days,https://esimdb.com/usa/gigsky,100.0,7.0,0.0
Airhub,USA 1GB 7Days,0.85,1GB,7 Days,https://esimdb.com/usa/airhub,1024.0,7.0,0.85
eSIM4Travel,USA (Verizon) - 1GB/7Days,0.94,1GB,7 Days,https://esimdb.com/usa/esim4travel,1024.0,7.0,0.94
EZsim,USA (Verizon) - 1GB/7Days,0.99,1GB,7 Days,https://esimdb.com/usa/ezsim,1024.0,7.0,0.99
Yesim,United States,0.56,500MB,3 Days,https://esimdb.com/usa/yesim,500.0,3.0,1.12
GLOBAL YO,United States - 7 Days - 1 GB,1.29,1GB,7 Days,https://esimdb.com/usa/yoverse,1024.0,7.0,1.29
EscapeSIM,United States 1GB,1.32,1GB,14 Days,https://esimdb.com/usa/escapesim,1024.0,14.0,1.32
esimzon,USA 1GB 30Days,1.45,1GB,30 Days,https://esimdb.com/usa/esimzon,1024.0,30.0,1.45
Supera link,United States - Regular,1.5,1GB,7 Days,https://esimdb.com/usa/superalink,1024.0,7.0,1.5
EscapeSIM,Europe And USA 1GB,1.64,1GB,14 Days,https://esimdb.com/usa/escapesim,1024.0,14.0,1.64
EZsim,USA (ATT+Verizon) - 1GB/7Days,1.7,1GB,7 Days,https://esimdb.com/usa/ezsim,1024.0,7.0,1.7
TravelGator eSIM,United States eSIM Roaming Data,1.77,1GB,7 Days,https://esimdb.com/usa/travelgatorsim,1024.0,7.0,1.77
BNESIM,Surf 1GB in United States for 30 days,1.85,1GB,30 Days,https://esimdb.com/usa/bnesim,1024.0,30.0,1.85
GLOBAL YO,World Explorer Light - 7 Days - 1 GB (52 countries),1.99,1GB,7 Days,https://esimdb.com/usa/yoverse,1024.0,7.0,1.99
TravelGator eSIM,United States eSIM Roaming Data,1.99,1GB,10 Days,https://esimdb.com/usa/travelgatorsim,1024.0,10.0,1.99
eSimFlare,United States 1GB 7Days Single Use,2.0,1GB,7 Days,https://esimdb.com/usa/esimflare,1024.0,7.0,2.0
Instabridge,1 GB United States eSIM Mobile Data Plan,2.0,1GB,7 Days,https://esimdb.com/usa/instabridge,1024.0,7.0,2.0
RedteaGO,United States,2.0,1GB,15 Days,https://esimdb.com/usa/redtea,1024.0,15.0,2.0
Driffle eSIM,United-states 1GB for 7 Days,2.0,1GB,7 Days,https://esimdb.com/usa/driffle,1024.0,7.0,2.0
Jetpac,North America 1GB,1.0,1GB,4 Days,https://esimdb.com/usa/jetpac,1024.0,4.0,2.0
Jetpac,Global 1GB,1.0,1GB,4 Days,https://esimdb.com/usa/jetpac,1024.0,4.0,2.0
EscapeSIM,United States 2GB,2.08,2GB,15 Days,https://esimdb.com/usa/escapesim,2048.0,15.0,2.08
Billion Connect,Global eSIM [26 Regions] 7 Days 1GB,2.08,1GB,7 Days,https://esimdb.com/usa/billionconnect,1024.0,7.0,2.08
TravelGator eSIM,United States eSIM Roaming Data,2.11,1GB,15 Days,https://esimdb.com/usa/travelgatorsim,1024.0,15.0,2.11
nextSIM,"eSIM United States, 1GB, 7 Days, Standard",2.21,1GB,7 Days,https://esimdb.com/usa/nextsim,1024.0,7.0,2.21
EscapeSIM,Canada And USA 1GB,2.28,1GB,14 Days,https://esimdb.com/usa/escapesim,1024.0,14.0,2.28
eSIM4Travel,"USA (Verizon, AT&T) - 1GB/7Days",2.3,1GB,7 Days,https://esimdb.com/usa/esim4travel,1024.0,7.0,2.3
Billion Connect,Global eSIM [26 Regions] 30 Days 1GB,2.36,1GB,30 Days,https://esimdb.com/usa/billionconnect,1024.0,30.0,2.36
Textr eSIM,United States 1GB,2.39,1GB,7 Days,https://esimdb.com/usa/textr,1024.0,7.0,2.39
Roamless,1 GB United States,2.45,1GB,No expiry,https://esimdb.com/usa/roamless,1024.0,,2.45
airdatalink,United States eSIM,2.49,1GB,7 Days,https://esimdb.com/usa/airdatalink,1024.0,7.0,2.49
