_id,coverages,numberCoveredCountry,enName,name,price_info,capacity_info,validity_info,additionalInfo,capacity,period,prices_EUR,subscription,subscription_period,phone_number,telephony,canTopUp,eKYC,tethering,internetBreakouts,dataCapPer,speedLimit,reducedSpeed,possibleThrottling,promoEnabled,provider,hasAds,payAsYouGo,newUserOnly,isConsecutive,networkTypes,isLowLatency,has5G,usdPrice,usdPromoPrice,prices_USD,promoPrices_USD,promoPrices_EUR,prices_SGD,prices_AMD,prices_GBP,prices_GEL,prices_RUB,prices_UZS,promoPrices_AMD,promoPrices_GBP,promoPrices_GEL,promoPrices_RUB,promoPrices_UZS,prices_AUD,prices_AED,prices_CAD,promoPrices_AED,promoPrices_AUD,promoPrices_CAD,prices_JPY,promoPrices_JPY,prices_HKD,promoPrices_HKD,prices_CHF,prices_CZK,prices_DKK,prices_ILS,prices_KRW,prices_MYR,prices_NZD,prices_PLN,prices_SEK,prices_TWD,promoPrices_NZD,promoPrices_TWD,prices_ALL,prices_BGN,prices_CNY,prices_HUF,prices_IDR,prices_INR,prices_ISK,prices_LBP,prices_MAD,prices_MUR,prices_PEN,prices_PHP,prices_PKR,prices_PYG,prices_QAR,prices_RON,prices_RSD,prices_SAR,prices_THB,prices_UAH,prices_UYU,prices_VND,promoPrices_ALL,promoPrices_BGN,promoPrices_CHF,promoPrices_CNY,promoPrices_CZK,promoPrices_DKK,promoPrices_HUF,promoPrices_IDR,promoPrices_ILS,promoPrices_INR,promoPrices_ISK,promoPrices_KRW,promoPrices_LBP,promoPrices_MAD,promoPrices_MUR,promoPrices_MYR,promoPrices_PEN,promoPrices_PHP,promoPrices_PKR,promoPrices_PLN,promoPrices_PYG,promoPrices_QAR,promoPrices_RON,promoPrices_RSD,promoPrices_SAR,promoPrices_SEK,promoPrices_SGD,promoPrices_THB,promoPrices_UAH,promoPrices_UYU,promoPrices_VND,prices_MXN,promoPrices_MXN,prices_NOK,prices_ZAR,prices_BRL,telephony_dialingCode,telephony_voice,telephony_sms,telephony__id,promoPrices_ZAR,prices_OMR,promoPrices_OMR
6930124da494596ad6f5695c,63 items,63,FairPlay FirstFill FREE 1 GB 180 DAYS,FairPlay FirstFill FREE 1 GB 180 DAYS,,,,"• No payment details needed
• No more eSIM swaps!
• 5G high-speed internet
• eSIM 2 x re-activatable after deletion
• Auto renewal: OFF",1000,180,0.0,False,,False,,True,False,True,,,,,False,False,69007ec7060073f43b25c6a8,False,False,False,False,,False,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da51a49ecaacd99c74ac8d,39 items,39,FREE Europe eSIM &amp; Data,FREE Europe eSIM &amp; Data,Enjoy your free trial :),No throttling.,30-day free trial starts upon eSIM activation.,"Roamless eSIM can be used globally.
eSIM can be activated immediately. If needed, eSIM can be deleted and re-activated. You won't lose your Flex Credits or Fix Plans even if you delete your eSIM.",525,30,,False,,False,,True,,True,"{'country': 'BE'},{'country': 'FR'}",,,,False,False,66e18e73597f9c6d753b7571,False,True,True,False,,False,False,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db84cbc7d163c6f6a93e24,42 items,42,Europe,Europe,,,,,500,7,,False,,False,,,,,"{'country': 'DK'},{'country': 'US'}",,,,False,False,5c89d6b91144d06205595375,False,False,False,False,,False,False,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910b30ec1cfe99cf3045b14,104 items,104,iRoamly-eSIM-500MB-1 Day-Daily-Free,iRoamly-eSIM-500MB-1 Day-Daily-Free,,,,"500MB high-speed per day, then reduced to 384kbps",500,1,,False,,False,,False,False,True,,,,,False,False,66ac21966d047ed956f30520,False,False,True,False,,False,False,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68f7a57d1a37c4b60a8c4d34,35 items,35,Corvus Europe,Corvus Europe,,,,,100,7,,False,,False,,True,False,True,,,,,False,False,61092d9ae3da2061875bc429,False,False,True,False,,False,False,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692edb6e2294731c96a53203,108 items,108,Firsty Free,Firsty Free,,,,"Unlimited data for essential services (Whatsapp, navigation, Uber,...)
No expiry",0,1,0.0,False,,False,,False,,,,,256.0,,True,False,66719ce7b8d1560ec8b11691,True,False,False,False,,False,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da253a184401d0d814c3bb,37 items,37,Europe (37 countries),Europe (37 countries),,,,,200,1,,False,,False,,,,,,,,,False,True,5d16f93191d4f93192b3349c,False,False,False,False,,False,False,0.52,0.494,0.52,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692485eae80c3c2b83a6bca1,33 items,33,Europe &amp; UK,Europe &amp; UK,,,,"This plan is available only for new Yesim users
Instant activation or delayed for 365 days",500,3,0.45,False,,False,,,,True,{'country': 'PL'},,,,False,True,5d4a55600c59513ea8d90d02,False,False,True,False,,False,False,0.52498935,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68db770835850fa8f214c8b4,33 items,33,Europe eSIM [33 Countries] 1 Day 500MB/Day,Europe eSIM [33 Countries] 1 Day 500MB/Day,,,,,500,1,,False,,False,,,,True,{'country': 'AT'},,,128.0,False,True,5eb95317a5faaf0b7dfa9b24,False,False,False,False,,False,False,0.69,0.621,0.69,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da253a184401d0d814c3ba,37 items,37,Europe (37 countries),Europe (37 countries),,,,,300,1,,False,,False,,,,,,,,,False,True,5d16f93191d4f93192b3349c,False,False,False,False,,False,False,0.7,0.6649999999999999,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68da253a184401d0d814c45a,39 items,39,Europe Plus,Europe Plus,,,,,300,1,,False,,False,,,,,,,,,False,True,5d16f93191d4f93192b3349c,False,False,False,False,,False,False,0.7,0.6649999999999999,0.7,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a8a05cbb78507dd9fcd80e,34 items,34,Best Europe 35 - 1GB/1Days,Best Europe 35 - 1GB/1Days,,Unthrottled,This eSIM data package will expire in 180 days from the date of your purchase. Please install and activate it within this period.,"
The validity period start when the eSIM first connect to a network. Each day counts as 24 hours from activation.",1000,1,,False,,False,,True,False,True,,,,,False,True,651a85325fee853583ffe8e5,False,False,False,False,,False,False,0.8,0.7200000000000001,0.8,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a8a084bb78507dd9fd5478,34 items,34,Europe 35 - 1GB/1Days,Europe 35 - 1GB/1Days,,Unthrottled,This eSIM data package will expire in 180 days from the date of your purchase. Please install and activate it within this period.,"
The validity period start when the eSIM first connect to a network. Each day counts as 24 hours from activation.",1000,1,,False,,False,,True,False,True,,,,,False,True,6569737630f6dcfb30352bf3,False,False,False,False,,False,False,0.85,0.765,0.85,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68dc6721adbaffe4b0eae015,33 items,33,Europe 33 Countries 1 Day / Daily 500MB,Europe 33 Countries 1 Day / Daily 500MB,,Unlimited 512kbps after high-speed data is used up.,,,500,1,,False,,False,,False,False,True,{'country': 'PL'},day,,512.0,False,True,65fd5b85efc7ee1e3444055a,False,False,False,False,,False,False,0.9,0.0,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
