plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,scope,raw_coverages,new_user_only,can_top_up,tethering,countries
6930124da494596ad6f5695c,69007ec7060073f43b25c6a8,FairPlay,FairPlay FirstFill FREE 1 GB 180 DAYS,1000,180,,0.0,,local,[],False,True,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68da51a09ecaacd99c74a32f,66e18e73597f9c6d753b7571,Roamless,FREE Germany eSIM &amp; Data,525,30,,0.0,0.0,local,[],True,True,True,"[""germany""]"
68da51a49ecaacd99c74ac8d,66e18e73597f9c6d753b7571,Roamless,FREE Europe eSIM &amp; Data,525,30,,0.0,0.0,local,[],True,True,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68db84c9c7d163c6f6a93a37,5c89d6b91144d06205595375,GigSky,Germany,500,7,,0.0,0.0,local,[],False,,,"[""germany""]"
68db84cbc7d163c6f6a93e24,5c89d6b91144d06205595375,GigSky,Europe,500,7,,0.0,0.0,local,[],False,,,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
6910b30ec1cfe99cf3045b14,66ac21966d047ed956f30520,iRoamly,iRoamly-eSIM-500MB-1 Day-Daily-Free,500,1,,0.0,,local,[],True,False,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68f7a57d1a37c4b60a8c4d34,61092d9ae3da2061875bc429,Keepgo,Corvus Europe,100,7,,0.0,,local,[],True,True,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
692edb6e2294731c96a53203,66719ce7b8d1560ec8b11691,Firsty,Firsty Free,0,1,,0.0,,local,[],False,False,,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
692353afb8734fbaf0232e54,68c14302db0d9dcc729f5232,ESIM.DOG 🐶,🎁 $0.50 + VPN | Vodafone/O2 Germany - Best Coverage (500MB/1Days),500,1,,0.5,0.475,local,[],False,,True,"[""germany""]"
68da253a184401d0d814c3bb,5d16f93191d4f93192b3349c,RedteaGO,Europe (37 countries),200,1,,0.52,0.494,local,[],False,,,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68dab1eeef4f54f532e1a81f,5d4a55600c59513ea8d90d02,Yesim,Germany,500,3,,0.52382835,0.0,local,[],True,,True,"[""germany""]"
692485eae80c3c2b83a6bca1,5d4a55600c59513ea8d90d02,Yesim,Europe &amp; UK,500,3,,0.52382835,0.0,local,[],True,,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68db770835850fa8f214c8b4,5eb95317a5faaf0b7dfa9b24,Billion Connect,Europe eSIM [33 Countries] 1 Day 500MB/Day,500,1,,0.69,0.621,local,[],False,,True,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68da253a184401d0d814c2fa,5d16f93191d4f93192b3349c,RedteaGO,Germany,300,1,,0.7,0.6649999999999999,local,[],False,,,"[""germany""]"
68da253a184401d0d814c3ba,5d16f93191d4f93192b3349c,RedteaGO,Europe (37 countries),300,1,,0.7,0.6649999999999999,local,[],False,,,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68da253a184401d0d814c45a,5d16f93191d4f93192b3349c,RedteaGO,Europe Plus,300,1,,0.7,0.6649999999999999,local,[],False,,,"[""slovakia"", ""czechia"", ""germany"", ""austria""]"
68a8a05cbb78507dd9fcd80e,651a85325fee853583ffe8e5,eSIM4Travel,Best Europe 35 - 1GB/1Days,1000,1,,0.8,0.7200000000000001,local,[],False,True,True,"[""czechia"", ""germany"", ""austria""]"
