provider,plan_title,capacity,period,price,data_mb,validity_days,plan_cost,is_daily_quota,plan_total_data_mb,total_plan_cost_for_trip,overall_cost_per_day
66e18e73597f9c6d753b7571,FREE France eSIM &amp; Data,No throttling.,30 Days,0,,30,0.0,False,,0.0,0.0
66e18e73597f9c6d753b7571,FREE Europe eSIM &amp; Data,No throttling.,30 Days,0,,30,0.0,False,,0.0,0.0
66ac21966d047ed956f30520,iRoamly-eSIM-500MB-1 Day-Daily-Free,500 MB,1 Days,0,500.0,1,0.0,False,500.0,0.0,0.0
5c89d6b91144d06205595375,France,500 MB,7 Days,0,500.0,7,0.0,False,500.0,0.0,0.0
5c89d6b91144d06205595375,Europe,500 MB,7 Days,0,500.0,7,0.0,False,500.0,0.0,0.0
61092d9ae3da2061875bc429,Corvus Europe,100 MB,7 Days,0,100.0,7,0.0,False,100.0,0.0,0.0
66719ce7b8d1560ec8b11691,Firsty Free,,1 Days,0,,1,0.0,False,,0.0,0.0
5d4a55600c59513ea8d90d02,France,500 MB,3 Days,0,500.0,3,0.0,False,500.0,0.0,0.0
5d4a55600c59513ea8d90d02,Europe &amp; UK,500 MB,3 Days,0,500.0,3,0.0,False,500.0,0.0,0.0
65fd5b85efc7ee1e3444055a,France 5G 1 Day / Daily 500MB,Unlimited 512kbps after high-speed data is used up.,1 Days,0,,1,0.0,False,,0.0,0.0
65fd5b85efc7ee1e3444055a,Europe 36 Countries 1 Day / Daily 500MB,Unlimited 128kbps after high-speed data is used up.,1 Days,0,,1,0.0,False,,0.0,0.0
682d271c08820152a644c1ce,France  1GB/day for 1 day,1000 MB,1 Days,0,1000.0,1,0.0,False,1000.0,0.0,0.0
682d271c08820152a644c1ce,Europe  (33 Countries) 1GB/day for,1000 MB,1 Days,0,1000.0,1,0.0,False,1000.0,0.0,0.0
63c52208de7c07fba95ec104,Europe Explorer - 3 Days - 1 GB (39 countries),1000 MB,3 Days,0,1000.0,3,0.0,False,1000.0,0.0,0.0
63c52208de7c07fba95ec104,France - 3 Days - 1 GB,1000 MB,3 Days,0,1000.0,3,0.0,False,1000.0,0.0,0.0
658542de5131ef287a24cf6f,France 1GB,No daily data limit or throttling,730 Days,0,,730,0.0,True,,0.0,0.0
658542de5131ef287a24cf6f,Europe 1GB,No daily data limit or throttling,730 Days,0,,730,0.0,True,,0.0,0.0
658542de5131ef287a24cf6f,Global eSIM 1GB (2 years),No daily data limit or throttling,730 Days,0,,730,0.0,True,,0.0,0.0
65fd5b85efc7ee1e3444055a,Europe 41 Countries 5G 1 Day / Total 200MB,Unlimited 128kbps after high-speed data is used up.,1 Days,0.010000000000000009,,1,0.010000000000000009,False,,0.1100000000000001,0.010000000000000009
63c52208de7c07fba95ec104,Europe Explorer (Stand w'Ukraine) - 3 Days - 1 GB (39 countries),1000 MB,3 Days,0.1900000000000004,1000.0,3,0.1900000000000004,False,1000.0,0.7600000000000016,0.06909090909090923
6569737630f6dcfb30352bf3,France - 1GB/7Days,Unthrottled,7 Days,0.86,,7,0.86,False,,1.72,0.15636363636363637
651a85325fee853583ffe8e5,"France (Orange, SFR, Bouygues) - 1GB/7Days",Unthrottled,7 Days,0.88,,7,0.88,False,,1.76,0.16
65fd5b85efc7ee1e3444055a,France 5G 1 Day / Daily 1GB,Unlimited 512kbps after high-speed data is used up.,1 Days,0.19999999999999996,,1,0.19999999999999996,False,,2.1999999999999993,0.19999999999999993
6792061a96f9d33acf3046d4,France 3GB 15Days,3000 MB,15 Days,2.25,3000.0,15,2.25,False,3000.0,2.25,0.20454545454545456
681ee80c407513192318e167,France - 3 GB,3000 MB,30 Days,2.6,3000.0,30,2.6,False,3000.0,2.6,0.23636363636363636
65fd5b85efc7ee1e3444055a,France 5G 15 Days / Total 3GB,3000 MB,15 Days,2.63,3000.0,15,2.63,False,3000.0,2.63,0.23909090909090908
