provider,provider_id,provider_slug,plan_title,capacity,period,price,price_usd_promo,price_usd_base,promo_zero_any,base_zero_any,coverage_count,scope_pref,plan_id
Ubigi,5c6df152447a286186dea121,ubigi,,10000 MB,7 Days,6.3,6.3,7.0,False,False,0,0,68c17b14cd5c66d77c1bd35d
Jetpac,656ef630e60950c9a706e6ff,jetpac,France 15GB,15000 MB,30 Days,17.0,17.0,20.0,False,False,4,0,68be8502d6e3468a27177bf3
GlobaleSIM,5e8d7bfe206f3b3af9d16058,globalesim,France,15000 MB,30 Days,8.55,8.55,9.5,False,False,0,0,68c6c15484653e884341e1d4
Instabridge,643fbeb179777aa7ebe1e0f6,instabridge,20 GB France eSIM Mobile Data Plan,20000 MB,7 Days,12.8,12.8,16.0,False,False,0,0,68a8a031bb78507dd9fc46f3
eSIMX,659fbea879f1e6c5568353ba,esimx,France 10GB 7Days,10000 MB,7 Days,5.87,5.87,6.9,False,False,0,0,68b56692cf33f7182bfddeac
Roamless,66e18e73597f9c6d753b7571,roamless,FREE France eSIM &amp; Data,525 MB,30 Days,0.0,0.0,0.0,True,True,2,0,68c00fa8a25ba7dd4357add9
Roamless,66e18e73597f9c6d753b7571,roamless,FREE Europe eSIM &amp; Data,525 MB,30 Days,0.0,0.0,0.0,True,True,2,1,68c00faba25ba7dd4357d7a0
iRoamly,66ac21966d047ed956f30520,iroamly,iRoamly-eSIM-500MB-1 Day-Daily-Free,500 MB,1 Days,0.0,,0.0,False,True,0,0,68baadb798ac519469ad0c1b
GigSky,5c89d6b91144d06205595375,gigsky,France,500 MB,7 Days,0.0,0.0,0.0,True,True,2,0,68c0a94c505eafa5d7f2922c
GigSky,5c89d6b91144d06205595375,gigsky,Europe,500 MB,7 Days,0.0,0.0,0.0,True,True,2,1,68c0a94e505eafa5d7f2b605
Keepgo,61092d9ae3da2061875bc429,keepgo,Corvus Europe,100 MB,7 Days,0.0,,0.0,False,True,0,1,68c3f1fcf8d4cbf4d83080e7
Firsty,66719ce7b8d1560ec8b11691,firsty,Firsty Free,0 MB,1 Days,0.0,,0.0,False,True,0,0,68b1d5062f01bb37575ea99d
RedteaGO,5d16f93191d4f93192b3349c,redtea,Europe (37 countries),200 MB,1 Days,0.49,0.49,0.52,False,False,0,1,68bab972ed9709269b1f91d1
Yesim,5d4a55600c59513ea8d90d02,yesim,France,500 MB,3 Days,0.0,0.0,0.52766415,True,False,1,0,68c7e88a909a70033452d40a
Yesim,5d4a55600c59513ea8d90d02,yesim,Europe &amp; UK,500 MB,3 Days,0.0,0.0,0.52766415,True,False,1,1,68c7e88a909a70033452d6ed
Earth Esim,6747c8e603e7509b3dc0bfc3,earth-esim,300MB/1 Day Europe Region eSIM,300 MB,1 Days,0.64,,0.64,False,False,0,1,68c8164369982fcf6c77f627
Billion Connect,5eb95317a5faaf0b7dfa9b24,billionconnect,Europe eSIM [33 Countries] 1 Day 500MB/Day,500 MB,1 Days,0.62,0.62,0.69,False,False,1,1,68c867681c43a850e7c212e7
RedteaGO,5d16f93191d4f93192b3349c,redtea,France,300 MB,1 Days,0.66,0.66,0.7,False,False,0,0,68bab971ed9709269b1f8f90
RedteaGO,5d16f93191d4f93192b3349c,redtea,Europe (37 countries),300 MB,1 Days,0.66,0.66,0.7,False,False,0,1,68bab972ed9709269b1f91ab
RedteaGO,5d16f93191d4f93192b3349c,redtea,Europe Plus,300 MB,1 Days,0.66,0.66,0.7,False,False,0,1,68bab972ed9709269b1f9b14
eSIM4Travel,651a85325fee853583ffe8e5,esim4travel,Best Europe 35 - 1GB/1Days,1000 MB,1 Days,0.72,0.72,0.8,False,False,0,1,68a8a05cbb78507dd9fcd80e
Earth Esim,6747c8e603e7509b3dc0bfc3,earth-esim,500MB/1 Day France 5G eSIM,500 MB,1 Days,0.8,,0.8,False,False,0,0,68c8164369982fcf6c77f6f7
EZsim,6569737630f6dcfb30352bf3,ezsim,Europe 35 - 1GB/1Days,1000 MB,1 Days,0.77,0.77,0.85,False,False,0,1,68a8a084bb78507dd9fd5478
Simfinity,6703d78781b690b781d3bac0,simfinity,France,100 MB,1 Days,0.77,0.77,0.85,False,False,0,0,68c8162a69982fcf6c77cf83
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,France - 1 Day/Total 200MB,200 MB/day,1 Days,0.8964935053710827,,0.8964935053710827,False,False,1,0,68bfdb548525b2c8ebf59ac9
Billion Connect,5eb95317a5faaf0b7dfa9b24,billionconnect,Global eSIM [45 countries] 1 Day 500MB/Day,500 MB,1 Days,0.83,0.83,0.92,False,False,1,2,68c867731c43a850e7c2e7c3
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe (41 Countries) - 1 Day/Total 200MB,200 MB/day,1 Days,0.9276758881665986,,0.9276758881665986,False,False,1,1,68bfdb528525b2c8ebf5847b
EZsim,6569737630f6dcfb30352bf3,ezsim,France - 1GB/7Days,1000 MB,7 Days,0.86,0.86,0.95,False,False,0,0,68a8a084bb78507dd9fd563f
MicroEsim,65fd5b85efc7ee1e3444055a,microesim,France 5G 1 Day / Daily 500MB,500 MB/day,1 Days,0.0,0.0,0.95,True,False,1,0,68c72566418c34d5c8a9e98b
eSIM4Travel,651a85325fee853583ffe8e5,esim4travel,"France (Orange, SFR, Bouygues) - 1GB/7Days",1000 MB,7 Days,0.88,0.88,0.98,False,False,0,0,68a8a05cbb78507dd9fcdaa7
